repo,cpu,ram,disk,gpu,gpu_memory
https://github.com/yrcong/RelTR,8,16,None,None,None
https://github.com/rahulvigneswaran/Lottery-Ticket-Hypothesis-in-Pytorch,4,16,None,None,None
https://github.com/henryzhongsc/gnn_editing,4,16,None,None,None
https://github.com/PriorLabs/TabPFN,4,16,None,None,None
https://github.com/fmi-basel/neural-decoding-RSNN,4,16,None,None,None
https://github.com/peng-gao-lab/p4control,4,16,None,None,None
https://github.com/RutgersCSSystems/crossprefetch-asplos24-artifacts,8,32,None,None,None
https://github.com/wenxiwang/SymMC-Tool,4,8,None,None,None
https://github.com/sumonbis/Fairify,4,16,None,None,None
https://github.com/EngineeringSoftware/exli,4,16,None,None,None
https://github.com/uiuc-arc/sixthsense,4,16,None,None,None
https://github.com/uiuc-arc/probfuzz,4,8,None,None,None
https://github.com/seal-research/gluetest,4,16,None,None,None
https://github.com/uiuc-arc/flex,4,16,None,None,None
https://github.com/xlab-uiuc/acto,4,16,None,None,None
https://github.com/wonglkd/Baleen-FAST24,4,16,None,None,None
https://github.com/iaoing/Silhouette,4,8,None,None,None
https://github.com/anvil-verifier/anvil,4,8,None,None,None
https://github.com/tinoryj/ELECT,4,16,None,None,None
https://github.com/snu-csl/rfuse,4,8,None,None,None
https://github.com/sbu-fsl/Metis,4,16,None,None,None
https://github.com/facebook/zstd,4,8,None,None,None
https://github.com/jqlang/jq,2,4,None,None,None
https://github.com/ponylang/ponyc,4,8,None,None,None
https://github.com/catchorg/Catch2,2,4,None,None,None
https://github.com/fmtlib/fmt,2,4,None,None,None
https://github.com/nlohmann/json,2,4,None,None,None
https://github.com/simdjson/simdjson,4,8,None,None,None
https://github.com/yhirose/cpp-httplib,2,4,None,None,None
https://github.com/cli/cli,2,4,None,None,None
https://github.com/grpc/grpc-go,4,8,None,None,None
https://github.com/zeromicro/go-zero,4,8,None,None,None
https://github.com/alibaba/fastjson2,4,8,None,None,None
https://github.com/elastic/logstash,4,8,None,None,None
https://github.com/mockito/mockito,2,4,None,None,None
https://github.com/anuraghazra/github-readme-stats,2,2,None,None,None
https://github.com/axios/axios,2,4,None,None,None
https://github.com/expressjs/express,2,2,None,None,None
https://github.com/iamkun/dayjs,2,4,None,None,None
https://github.com/Kong/insomnia,4,8,None,None,None
https://github.com/sveltejs/svelte,4,8,None,None,None
https://github.com/BurntSushi/ripgrep,2,4,None,None,None
https://github.com/clap-rs/clap,2,4,None,None,None
https://github.com/nushell/nushell,4,8,None,None,None
https://github.com/serde-rs/serde,2,4,None,None,None
https://github.com/sharkdp/bat,1,1,None,None,None
https://github.com/sharkdp/fd,1,1,None,None,None
https://github.com/rayon-rs/rayon,4,8,None,None,None
https://github.com/tokio-rs/bytes,2,4,None,None,None
https://github.com/tokio-rs/tokio,4,8,None,None,None
https://github.com/tokio-rs/tracing,2,4,None,None,None
https://github.com/darkreader/darkreader,2,4,None,None,None
https://github.com/mui/material-ui,4,8,None,None,None
https://github.com/vuejs/core,4,8,None,None,None
