run,repo,success,hardware_match,pred_cpu,pred_ram_gb,pred_gpu_required,pred_gpu_memory_gb,pred_disk_gb,pred_os,pred_cuda,actual_flavor,actual_cpu,actual_ram_gb,actual_disk_gb,actual_image,actual_node_type,server_id,floating_ip,undersized_reasons
run_1,unknown,True,,8,16,True,16,100,ubuntu 22.04,True,m1.xlarge,8,16,160,unknown,unknown,unknown,unknown,
run_10,unknown,True,,unknown,32,True,16,80,ubuntu 22.04,True,m1.xxlarge,16,32,320,unknown,unknown,unknown,unknown,
run_11,unknown,True,,8,16,True,6,10,ubuntu None,True,m1.xlarge,8,16,160,unknown,unknown,unknown,unknown,
run_12,unknown,True,,4,8,True,unknown,4096,linux None,True,m1.large,4,8,80,unknown,unknown,unknown,unknown,
run_13,unknown,True,,unknown,unknown,False,unknown,unknown,None None,False,m1.medium,2,4,40,unknown,unknown,unknown,unknown,
run_14,unknown,True,,8,64,True,unknown,100,ubuntu 20.04 or 22.04,True,m1.medium,2,4,40,unknown,unknown,unknown,unknown,
run_2,unknown,True,,unknown,8,False,unknown,5,ubuntu 20.04,False,m1.large,4,8,80,unknown,unknown,unknown,unknown,
run_3,unknown,True,,unknown,unknown,False,unknown,unknown,None None,False,m1.medium,2,4,40,unknown,unknown,unknown,unknown,
run_4,unknown,True,,4,8,True,8,unknown,ubuntu 20.04,True,m1.large,4,8,80,unknown,unknown,unknown,unknown,
run_5,unknown,True,,8,128,True,24,500,ubuntu 20.04,True,m1.medium,2,4,40,unknown,unknown,unknown,unknown,
run_6,unknown,True,,16,32,True,24,30,ubuntu 20.04,True,m1.xxlarge,16,32,320,unknown,unknown,unknown,unknown,
run_7,unknown,True,,16,32,True,24,30,ubuntu None,True,m1.xxlarge,16,32,320,unknown,unknown,unknown,unknown,
run_8,unknown,True,,8,16,True,12,unknown,None None,True,m1.xlarge,8,16,160,unknown,unknown,unknown,unknown,
run_9,unknown,True,,6,16,True,12,30,ubuntu 20.04,True,m1.xlarge,8,16,160,unknown,unknown,unknown,unknown,
